#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Корпус,Параметр:Заказной код:Дисплей,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Блок питания
,TLF-19-T-1-W-1-1-1,0-60 нл/мин,Тапкон,Дисплей,0~5 VDC,Есть
,TLF-19-T-1-W-1-1-2,0-60 нл/мин,Тапкон,Дисплей,0~5 VDC,Нет
,TLF-19-T-1-W-2-1-1,0-60 нл/мин,Тапкон,Дисплей,4~20 мА,Есть
,TLF-19-T-1-W-2-1-2,0-60 нл/мин,Тапкон,Дисплей,4~20 мА,Нет
,TLF-19-T-1-B-1-1-1,0-60 нл/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-19-T-1-B-1-1-2,0-60 нл/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-19-T-1-B-2-1-1,0-60 нл/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-19-T-1-B-2-1-2,0-60 нл/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Нет
,TLF-20-A-1-W-1-1-1,0-65 нл/мин,SS316,Дисплей,0~5 VDC,Есть
,TLF-20-A-1-W-1-1-2,0-65 нл/мин,SS316,Дисплей,0~5 VDC,Нет
,TLF-20-A-1-W-2-1-1,0-65 нл/мин,SS316,Дисплей,4~20 мА,Есть
,TLF-20-A-1-W-2-1-2,0-65 нл/мин,SS316,Дисплей,4~20 мА,Нет
,TLF-20-A-1-B-1-1-1,0-65 нл/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-20-A-1-B-1-1-2,0-65 нл/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-20-A-1-B-2-1-1,0-65 нл/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-20-A-1-B-2-1-2,0-65 нл/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Нет
,TLF-20-T-1-W-1-1-1,0-65 нл/мин,Тапкон,Дисплей,0~5 VDC,Есть
,TLF-20-T-1-W-1-1-2,0-65 нл/мин,Тапкон,Дисплей,0~5 VDC,Нет
,TLF-20-T-1-W-2-1-1,0-65 нл/мин,Тапкон,Дисплей,4~20 мА,Есть
,TLF-20-T-1-W-2-1-2,0-65 нл/мин,Тапкон,Дисплей,4~20 мА,Нет
,TLF-20-T-1-B-1-1-1,0-65 нл/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-20-T-1-B-1-1-2,0-65 нл/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-20-T-1-B-2-1-1,0-65 нл/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-20-T-1-B-2-1-2,0-65 нл/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Нет
,TLF-21-A-1-W-1-1-1,0-70 нл/мин,SS316,Дисплей,0~5 VDC,Есть
,TLF-21-A-1-W-1-1-2,0-70 нл/мин,SS316,Дисплей,0~5 VDC,Нет
,TLF-21-A-1-W-2-1-1,0-70 нл/мин,SS316,Дисплей,4~20 мА,Есть
,TLF-21-A-1-W-2-1-2,0-70 нл/мин,SS316,Дисплей,4~20 мА,Нет
,TLF-21-A-1-B-1-1-1,0-70 нл/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-21-A-1-B-1-1-2,0-70 нл/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-21-A-1-B-2-1-1,0-70 нл/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-21-A-1-B-2-1-2,0-70 нл/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Нет
,TLF-21-T-1-W-1-1-1,0-70 нл/мин,Тапкон,Дисплей,0~5 VDC,Есть
,TLF-21-T-1-W-1-1-2,0-70 нл/мин,Тапкон,Дисплей,0~5 VDC,Нет
,TLF-21-T-1-W-2-1-1,0-70 нл/мин,Тапкон,Дисплей,4~20 мА,Есть
,TLF-21-T-1-W-2-1-2,0-70 нл/мин,Тапкон,Дисплей,4~20 мА,Нет
,TLF-21-T-1-B-1-1-1,0-70 нл/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-21-T-1-B-1-1-2,0-70 нл/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-21-T-1-B-2-1-1,0-70 нл/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-21-T-1-B-2-1-2,0-70 нл/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Нет
,TLF-22-A-1-W-1-1-1,0-75 нл/мин,SS316,Дисплей,0~5 VDC,Есть
,TLF-22-A-1-W-1-1-2,0-75 нл/мин,SS316,Дисплей,0~5 VDC,Нет
,TLF-22-A-1-W-2-1-1,0-75 нл/мин,SS316,Дисплей,4~20 мА,Есть
,TLF-22-A-1-W-2-1-2,0-75 нл/мин,SS316,Дисплей,4~20 мА,Нет
,TLF-22-A-1-B-1-1-1,0-75 нл/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-22-A-1-B-1-1-2,0-75 нл/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-22-A-1-B-2-1-1,0-75 нл/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-22-A-1-B-2-1-2,0-75 нл/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Нет
,TLF-22-T-1-W-1-1-1,0-75 нл/мин,Тапкон,Дисплей,0~5 VDC,Есть
,TLF-22-T-1-W-1-1-2,0-75 нл/мин,Тапкон,Дисплей,0~5 VDC,Нет
,TLF-22-T-1-W-2-1-1,0-75 нл/мин,Тапкон,Дисплей,4~20 мА,Есть
,TLF-22-T-1-W-2-1-2,0-75 нл/мин,Тапкон,Дисплей,4~20 мА,Нет
,TLF-22-T-1-B-1-1-1,0-75 нл/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-22-T-1-B-1-1-2,0-75 нл/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-22-T-1-B-2-1-1,0-75 нл/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-22-T-1-B-2-1-2,0-75 нл/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Нет
,TLF-23-A-1-W-1-1-1,0-100 нл/мин,SS316,Дисплей,0~5 VDC,Есть
,TLF-23-A-1-W-1-1-2,0-100 нл/мин,SS316,Дисплей,0~5 VDC,Нет
,TLF-23-A-1-W-2-1-1,0-100 нл/мин,SS316,Дисплей,4~20 мА,Есть
,TLF-23-A-1-W-2-1-2,0-100 нл/мин,SS316,Дисплей,4~20 мА,Нет
,TLF-23-A-1-B-1-1-1,0-100 нл/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-23-A-1-B-1-1-2,0-100 нл/мин,SS316,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-23-A-1-B-2-1-1,0-100 нл/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-23-A-1-B-2-1-2,0-100 нл/мин,SS316,Дисплей с синей подсветкой,4~20 мА,Нет
,TLF-23-T-1-W-1-1-1,0-100 нл/мин,Тапкон,Дисплей,0~5 VDC,Есть
,TLF-23-T-1-W-1-1-2,0-100 нл/мин,Тапкон,Дисплей,0~5 VDC,Нет
,TLF-23-T-1-W-2-1-1,0-100 нл/мин,Тапкон,Дисплей,4~20 мА,Есть
,TLF-23-T-1-W-2-1-2,0-100 нл/мин,Тапкон,Дисплей,4~20 мА,Нет
,TLF-23-T-1-B-1-1-1,0-100 нл/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Есть
,TLF-23-T-1-B-1-1-2,0-100 нл/мин,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Нет
,TLF-23-T-1-B-2-1-1,0-100 нл/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Есть
,TLF-23-T-1-B-2-1-2,0-100 нл/мин,Тапкон,Дисплей с синей подсветкой,4~20 мА,Нет
