#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Встроенный предохранительный перепускной клапан ,Параметр:Заказной код:Мембрана или поршень,Параметр:Заказной код:Наличие манометров ,Параметр:Заказной код:Давление
,072S-0500C-1O-5,NPT 1/4,0.2-35 бар,0.2,нерж. сталь 316L,нет,Мембрана,нет,5-35 бар
,072S-0500C-1O-5-V,NPT 1/4,0.2-35 бар,0.2,нерж. сталь 316L,да,Мембрана,нет,5-35 бар
,072S-0500C-1O-V,NPT 1/4,0.2-35 бар,0.2,нерж. сталь 316L,да,Мембрана,нет,без
,072S-0025X-1S,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Мембрана,нет,без
,072B-0025X-1S,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Мембрана,нет,без
,072S-0050X-1S,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Мембрана,нет,без
,072B-0050X-1S,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Мембрана,нет,без
,072S-0100X-1S,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Мембрана,нет,без
,072B-0100X-1S,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Мембрана,нет,без
,072S-0250X-1S,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Мембрана,нет,без
,072B-0250X-1S,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Мембрана,нет,без
,072S-0500X-1S,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Мембрана,нет,без
,072B-0500X-1S,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Мембрана,нет,без
,072S-0025X-1O,NPT 1/4,0.1-1.7 бар,0.2,нерж. сталь 316L,нет,Мембрана,нет,без
,072B-0025X-1O,NPT 1/4,0.1-1.7 бар,0.2,никел. латунь,нет,Мембрана,нет,без
,072S-0050X-1O,NPT 1/4,0.1-3.5 бар,0.2,нерж. сталь 316L,нет,Мембрана,нет,без
,072B-0050X-1O,NPT 1/4,0.1-3.5 бар,0.2,никел. латунь,нет,Мембрана,нет,без
,072S-0100X-1O,NPT 1/4,0.1-7 бар,0.2,нерж. сталь 316L,нет,Мембрана,нет,без
,072B-0100X-1O,NPT 1/4,0.1-7 бар,0.2,никел. латунь,нет,Мембрана,нет,без
,072S-0250X-1O,NPT 1/4,0.1-17 бар,0.2,нерж. сталь 316L,нет,Мембрана,нет,без
,072B-0250X-1O,NPT 1/4,0.1-17 бар,0.2,никел. латунь,нет,Мембрана,нет,без
,072S-0500X-1O,NPT 1/4,0.2-35 бар,0.2,нерж. сталь 316L,нет,Мембрана,нет,без
,072B-0500X-1O,NPT 1/4,0.2-35 бар,0.2,никел. латунь,нет,Мембрана,нет,без
,072S-0025C-1S-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Мембрана,да,без
,072B-0025C-1S-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072S-0050C-1S-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Мембрана,да,без
,072B-0050C-1S-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072S-0100C-1S-GAUGE,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Мембрана,да,без
,072B-0100C-1S-GAUGE,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072S-0250C-1S-GAUGE,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Мембрана,да,без
,072B-0250C-1S-GAUGE,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072S-0500C-1S-GAUGE,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Мембрана,да,без
,072B-0500C-1S-GAUGE,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072S-0025L-1S-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Мембрана,да,без
,072B-0025L-1S-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072S-0050L-1S-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Мембрана,да,без
,072B-0050L-1S-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072S-0100L-1S-GAUGE,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Мембрана,да,без
,072B-0100L-1S-GAUGE,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072S-0250L-1S-GAUGE,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Мембрана,да,без
,072B-0250L-1S-GAUGE,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072S-0500L-1S-GAUGE,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Мембрана,да,без
,072B-0500L-1S-GAUGE,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072S-0025X-1S-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Мембрана,да,без
,072B-0025X-1S-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072S-0050X-1S-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Мембрана,да,без
,072B-0050X-1S-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072S-0100X-1S-GAUGE,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Мембрана,да,без
,072B-0100X-1S-GAUGE,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072S-0250X-1S-GAUGE,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Мембрана,да,без
,072B-0250X-1S-GAUGE,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072S-0500X-1S-GAUGE,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Мембрана,да,без
,072B-0500X-1S-GAUGE,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072B-0025M-1O,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Мембрана,нет,без
,072B-0025M-1S,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Мембрана,нет,без
,072B-0025M-1S-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072B-0050M-1O,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Мембрана,нет,без
,072B-0050M-1S,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Мембрана,нет,без
,072B-0050M-1S-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072B-0100M-1O,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Мембрана,нет,без
,072B-0100M-1S,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Мембрана,нет,без
,072B-0100M-1S-GAUGE,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072B-0250M-1O,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Мембрана,нет,без
,072B-0250M-1S,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Мембрана,нет,без
,072B-0250M-1S-GAUGE,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Мембрана,да,без
,072B-0500M-1O,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Мембрана,нет,без
,072B-0500M-1S,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Мембрана,нет,без
,072B-0025L-1S-5-V-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Мембрана,да,5-35 бар
,072B-0050L-1S-5-V-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Мембрана,да,5-35 бар
,072B-0250L-1S-5-V-GAUGE,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Мембрана,да,5-35 бар
,072B-0500L-1S-5-V-GAUGE,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Мембрана,да,5-35 бар
,W072B-0025C-1S,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0025C-1S-5,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,5-35 бар
,W072B-0025C-1S-5-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0025C-1S-5-V,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,5-35 бар
,W072B-0025C-1S-5-V-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0025C-1S-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0025C-1S-V,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,без
,W072B-0025C-1S-V-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0025L-1S,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0025L-1S-5,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,5-35 бар
,W072B-0025L-1S-5-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0025L-1S-5-V,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,5-35 бар
,W072B-0025L-1S-5-V-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0025L-1S-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0025L-1S-V,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,без
,W072B-0025L-1S-V-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0025M-1S,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0025M-1S-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0025X-1S,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0025X-1S-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0050C-1S,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0050C-1S-5,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,5-35 бар
,W072B-0050C-1S-5-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0050C-1S-5-V,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,5-35 бар
,W072B-0050C-1S-5-V-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0050C-1S-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0050C-1S-V,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,без
,W072B-0050C-1S-V-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0050L-1S,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0050L-1S-5,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,5-35 бар
,W072B-0050L-1S-5-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0050L-1S-5-V,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,5-35 бар
,W072B-0050L-1S-5-V-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0050L-1S-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0050L-1S-V,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,без
,W072B-0050L-1S-V-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0050M-1S,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0050M-1S-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0050X-1S,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0050X-1S-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0100C-1S,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0100C-1S-5,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,5-35 бар
,W072B-0100C-1S-5-GAUGE,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0100C-1S-5-V,NPT 1/4,0.1-7 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,5-35 бар
,W072B-0100C-1S-5-V-GAUGE,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0100C-1S-GAUGE,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0100C-1S-V,NPT 1/4,0.1-7 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,без
,W072B-0100C-1S-V-GAUGE,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0100L-1S,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0100L-1S-5,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,5-35 бар
,W072B-0100L-1S-5-GAUGE,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0100L-1S-5-V,NPT 1/4,0.1-7 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,5-35 бар
,W072B-0100L-1S-5-V-GAUGE,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0100L-1S-GAUGE,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0100L-1S-V,NPT 1/4,0.1-7 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,без
,W072B-0100L-1S-V-GAUGE,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0100M-1S,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0100M-1S-GAUGE,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0100X-1S,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0100X-1S-GAUGE,NPT 1/4,0.1-7 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0250C-1S,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0250C-1S-5,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,5-35 бар
,W072B-0250C-1S-5-GAUGE,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0250C-1S-5-V,NPT 1/4,0.1-17 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,5-35 бар
,W072B-0250C-1S-5-V-GAUGE,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0250C-1S-GAUGE,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0250C-1S-V,NPT 1/4,0.1-17 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,без
,W072B-0250C-1S-V-GAUGE,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0250L-1S,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0250L-1S-5,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,5-35 бар
,W072B-0250L-1S-5-GAUGE,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0250L-1S-5-V,NPT 1/4,0.1-17 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,5-35 бар
,W072B-0250L-1S-5-V-GAUGE,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0250L-1S-GAUGE,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0250L-1S-V,NPT 1/4,0.1-17 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,без
,W072B-0250L-1S-V-GAUGE,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0250M-1S,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0250M-1S-GAUGE,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0250X-1S,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0250X-1S-GAUGE,NPT 1/4,0.1-17 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0500C-1S,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0500C-1S-5,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,5-35 бар
,W072B-0500C-1S-5-GAUGE,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0500C-1S-5-V,NPT 1/4,0.2-35 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,5-35 бар
,W072B-0500C-1S-5-V-GAUGE,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0500C-1S-GAUGE,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0500C-1S-V,NPT 1/4,0.2-35 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,без
,W072B-0500C-1S-V-GAUGE,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0500L-1S,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0500L-1S-5,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,5-35 бар
,W072B-0500L-1S-5-GAUGE,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0500L-1S-5-V,NPT 1/4,0.2-35 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,5-35 бар
,W072B-0500L-1S-5-V-GAUGE,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,5-35 бар
,W072B-0500L-1S-GAUGE,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0500L-1S-V,NPT 1/4,0.2-35 бар,0.06,никел. латунь,да,Поршень вместо мембраны,нет,без
,W072B-0500L-1S-V-GAUGE,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0500M-1S,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0500M-1S-GAUGE,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072B-0500X-1S,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,нет,без
,W072B-0500X-1S-GAUGE,NPT 1/4,0.2-35 бар,0.06,никел. латунь,нет,Поршень вместо мембраны,да,без
,W072S-0025C-1S,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,без
,W072S-0025C-1S-5,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,5-35 бар
,W072S-0025C-1S-5-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0025C-1S-5-V,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,5-35 бар
,W072S-0025C-1S-5-V-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0025C-1S-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0025C-1S-V,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,без
,W072S-0025C-1S-V-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0025L-1S,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,без
,W072S-0025L-1S-5,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,5-35 бар
,W072S-0025L-1S-5-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0025L-1S-5-V,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,5-35 бар
,W072S-0025L-1S-5-V-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0025L-1S-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0025L-1S-V,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,без
,W072S-0025L-1S-V-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0025X-1S,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,без
,W072S-0025X-1S-GAUGE,NPT 1/4,0.1-1.7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0050C-1S,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,без
,W072S-0050C-1S-5,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,5-35 бар
,W072S-0050C-1S-5-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0050C-1S-5-V,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,5-35 бар
,W072S-0050C-1S-5-V-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0050C-1S-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0050C-1S-V,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,без
,W072S-0050C-1S-V-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0050L-1S,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,без
,W072S-0050L-1S-5,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,5-35 бар
,W072S-0050L-1S-5-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0050L-1S-5-V,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,5-35 бар
,W072S-0050L-1S-5-V-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0050L-1S-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0050L-1S-V,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,без
,W072S-0050L-1S-V-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0050X-1S,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,без
,W072S-0050X-1S-GAUGE,NPT 1/4,0.1-3.5 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0100C-1S,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,без
,W072S-0100C-1S-5,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,5-35 бар
,W072S-0100C-1S-5-GAUGE,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0100C-1S-5-V,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,5-35 бар
,W072S-0100C-1S-5-V-GAUGE,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
