"#","Код","Параметр:Код:Давление","Параметр:Код:Подсоединение","Параметр:Код:Размер шкалы","Параметр:Код:Заполнение глицерином","Параметр:Код:Поверка","Параметр:Код:Конфигурация"
,"G22-S-4N-63F-160bar-VE","от 0 до 160бар","NPT 1/4","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-4N-63F-250bar-VE","от 0 до 250бар","NPT 1/4","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-4N-63F-400bar-VE","от 0 до 400бар","NPT 1/4","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-4N-63F-600bar-VE","от 0 до 600бар","NPT 1/4","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-4N-63F-1000bar-VE","от 0 до 1000бар","NPT 1/4","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-0,6bar-VE","от 0 до 0.6бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-1bar-VE","от 0 до 1бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-1,6bar-VE","от 0 до 1.6бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-2,5bar-VE","от 0 до 2.5бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-4bar-VE","от 0 до 4бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-6bar-VE","от 0 до 6бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-10bar-VE","от 0 до 10бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-16bar-VE","от 0 до 16бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-25bar-VE","от 0 до 25бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-40bar-VE","от 0 до 40бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-60bar-VE","от 0 до 60бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-100bar-VE","от 0 до 100бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-160bar-VE","от 0 до 160бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-250bar-VE","от 0 до 250бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-400bar-VE","от 0 до 400бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-600bar-VE","от 0 до 600бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-12M-63F-1000bar-VE","от 0 до 1000бар","M12x1.5","63мм","нет","да","<img src=assets/inventory/F.png>"
,"G22-S-8G-100A-0,6bar-VE","от 0 до 0.6бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-1bar-VE","от 0 до 1бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-1,6bar-VE","от 0 до 1.6бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-2,5bar-VE","от 0 до 2.5бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-4bar-VE","от 0 до 4бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-6bar-VE","от 0 до 6бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-10bar-VE","от 0 до 10бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-16bar-VE","от 0 до 16бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-25bar-VE","от 0 до 25бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-40bar-VE","от 0 до 40бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-60bar-VE","от 0 до 60бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-100bar-VE","от 0 до 100бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-160bar-VE","от 0 до 160бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-250bar-VE","от 0 до 250бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-400bar-VE","от 0 до 400бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-600bar-VE","от 0 до 600бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-100A-1000bar-VE","от 0 до 1000бар","G 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-0,6bar-VE","от 0 до 0.6бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-1bar-VE","от 0 до 1бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-1,6bar-VE","от 0 до 1.6бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-2,5bar-VE","от 0 до 2.5бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-4bar-VE","от 0 до 4бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-6bar-VE","от 0 до 6бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-10bar-VE","от 0 до 10бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-16bar-VE","от 0 до 16бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-25bar-VE","от 0 до 25бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-40bar-VE","от 0 до 40бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-60bar-VE","от 0 до 60бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-100bar-VE","от 0 до 100бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-160bar-VE","от 0 до 160бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-250bar-VE","от 0 до 250бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-400bar-VE","от 0 до 400бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-600bar-VE","от 0 до 600бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-100A-1000bar-VE","от 0 до 1000бар","NPT 1/2","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-0,6bar-VE","от 0 до 0.6бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-1bar-VE","от 0 до 1бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-1,6bar-VE","от 0 до 1.6бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-2,5bar-VE","от 0 до 2.5бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-4bar-VE","от 0 до 4бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-6bar-VE","от 0 до 6бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-10bar-VE","от 0 до 10бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-16bar-VE","от 0 до 16бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-25bar-VE","от 0 до 25бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-40bar-VE","от 0 до 40бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-60bar-VE","от 0 до 60бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-100bar-VE","от 0 до 100бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-160bar-VE","от 0 до 160бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-250bar-VE","от 0 до 250бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-400bar-VE","от 0 до 400бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-600bar-VE","от 0 до 600бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-100A-1000bar-VE","от 0 до 1000бар","M20x1.5","100мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-0,6bar-VE","от 0 до 0.6бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-1bar-VE","от 0 до 1бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-1,6bar-VE","от 0 до 1.6бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-2,5bar-VE","от 0 до 2.5бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-4bar-VE","от 0 до 4бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-6bar-VE","от 0 до 6бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-10bar-VE","от 0 до 10бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-16bar-VE","от 0 до 16бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-25bar-VE","от 0 до 25бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-40bar-VE","от 0 до 40бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-60bar-VE","от 0 до 60бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-150bar-VE","от 0 до 100бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-160bar-VE","от 0 до 160бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-250bar-VE","от 0 до 250бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-400bar-VE","от 0 до 400бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-600bar-VE","от 0 до 600бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8G-150A-1500bar-VE","от 0 до 1000бар","G 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-0,6bar-VE","от 0 до 0.6бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-1bar-VE","от 0 до 1бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-1,6bar-VE","от 0 до 1.6бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-2,5bar-VE","от 0 до 2.5бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-4bar-VE","от 0 до 4бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-6bar-VE","от 0 до 6бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-10bar-VE","от 0 до 10бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-16bar-VE","от 0 до 16бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-25bar-VE","от 0 до 25бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-40bar-VE","от 0 до 40бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-60bar-VE","от 0 до 60бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-150bar-VE","от 0 до 100бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-160bar-VE","от 0 до 160бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-250bar-VE","от 0 до 250бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-400bar-VE","от 0 до 400бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-600bar-VE","от 0 до 600бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-8N-150A-1500bar-VE","от 0 до 1000бар","NPT 1/2","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-0,6bar-VE","от 0 до 0.6бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-1bar-VE","от 0 до 1бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-1,6bar-VE","от 0 до 1.6бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-2,5bar-VE","от 0 до 2.5бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-4bar-VE","от 0 до 4бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-6bar-VE","от 0 до 6бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-10bar-VE","от 0 до 10бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-16bar-VE","от 0 до 16бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-25bar-VE","от 0 до 25бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-40bar-VE","от 0 до 40бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-60bar-VE","от 0 до 60бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-150bar-VE","от 0 до 100бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-160bar-VE","от 0 до 160бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-250bar-VE","от 0 до 250бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-400bar-VE","от 0 до 400бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-600bar-VE","от 0 до 600бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-20M-150A-1500bar-VE","от 0 до 1000бар","M20x1.5","150мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-60kPa-VE","от 0 до 60кПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-100kPa-VE","от 0 до 100кПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-160kPa-VE","от 0 до 160кПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-250kPa-VE","от 0 до 250кПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-400kPa-VE","от 0 до 400кПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-600kPa-VE","от 0 до 600кПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-1MPa-VE","от 0 до 1МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-1,6MPa-VE","от 0 до 1.6МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-2,5MPa-VE","от 0 до 2.5МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-4MPa-VE","от 0 до 4МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-6MPa-VE","от 0 до 6МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-10MPa-VE","от 0 до 10МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-16MPa-VE","от 0 до 16МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-25MPa-VE","от 0 до 25МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-40MPa-VE","от 0 до 40МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-60MPa-VE","от 0 до 60МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63A-100MPa-VE","от 0 до 100МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-60kPa-VE","от 0 до 60кПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-100kPa-VE","от 0 до 100кПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-160kPa-VE","от 0 до 160кПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-250kPa-VE","от 0 до 250кПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-400kPa-VE","от 0 до 400кПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-600kPa-VE","от 0 до 600кПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-1MPa-VE","от 0 до 1МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-1,6MPa-VE","от 0 до 1.6МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-2,5MPa-VE","от 0 до 2.5МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-4MPa-VE","от 0 до 4МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-6MPa-VE","от 0 до 6МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-10MPa-VE","от 0 до 10МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-16MPa-VE","от 0 до 16МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-25MPa-VE","от 0 до 25МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-40MPa-VE","от 0 до 40МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-60MPa-VE","от 0 до 60МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4N-63A-100MPa-VE","от 0 до 100МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-60kPa-VE","от 0 до 60кПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-100kPa-VE","от 0 до 100кПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-160kPa-VE","от 0 до 160кПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-250kPa-VE","от 0 до 250кПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-400kPa-VE","от 0 до 400кПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-600kPa-VE","от 0 до 600кПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-1MPa-VE","от 0 до 1МПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-1,6MPa-VE","от 0 до 1.6МПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-2,5MPa-VE","от 0 до 2.5МПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-4MPa-VE","от 0 до 4МПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-6MPa-VE","от 0 до 6МПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-10MPa-VE","от 0 до 10МПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-16MPa-VE","от 0 до 16МПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-25MPa-VE","от 0 до 25МПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-40MPa-VE","от 0 до 40МПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-60MPa-VE","от 0 до 60МПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-12M-63A-100MPa-VE","от 0 до 100МПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/A.png>"
,"G22-S-4G-63B-60kPa-VE","от 0 до 60кПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-100kPa-VE","от 0 до 100кПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-160kPa-VE","от 0 до 160кПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-250kPa-VE","от 0 до 250кПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-400kPa-VE","от 0 до 400кПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-600kPa-VE","от 0 до 600кПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-1MPa-VE","от 0 до 1МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-1,6MPa-VE","от 0 до 1.6МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-2,5MPa-VE","от 0 до 2.5МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-4MPa-VE","от 0 до 4МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-6MPa-VE","от 0 до 6МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-10MPa-VE","от 0 до 10МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-16MPa-VE","от 0 до 16МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-25MPa-VE","от 0 до 25МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-40MPa-VE","от 0 до 40МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-60MPa-VE","от 0 до 60МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4G-63B-100MPa-VE","от 0 до 100МПа","G 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-60kPa-VE","от 0 до 60кПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-100kPa-VE","от 0 до 100кПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-160kPa-VE","от 0 до 160кПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-250kPa-VE","от 0 до 250кПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-400kPa-VE","от 0 до 400кПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-600kPa-VE","от 0 до 600кПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-1MPa-VE","от 0 до 1МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-1,6MPa-VE","от 0 до 1.6МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-2,5MPa-VE","от 0 до 2.5МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-4MPa-VE","от 0 до 4МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-6MPa-VE","от 0 до 6МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-10MPa-VE","от 0 до 10МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-16MPa-VE","от 0 до 16МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-25MPa-VE","от 0 до 25МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-40MPa-VE","от 0 до 40МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-60MPa-VE","от 0 до 60МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-4N-63B-100MPa-VE","от 0 до 100МПа","NPT 1/4","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-12M-63B-60kPa-VE","от 0 до 60кПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-12M-63B-100kPa-VE","от 0 до 100кПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-12M-63B-160kPa-VE","от 0 до 160кПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-12M-63B-250kPa-VE","от 0 до 250кПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-12M-63B-400kPa-VE","от 0 до 400кПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/B.png>"
,"G22-S-12M-63B-600kPa-VE","от 0 до 600кПа","M12x1.5","63мм","нет","да","<img src=assets/inventory/B.png>"
