#,Заказной код,Параметр:Заказной код:Подсоединение (внутр),Параметр:Заказной код:Диапазон давлений,Параметр:Заказной код:Материал коннектора,Параметр:Заказной код:Материал уплотнительного кольца,Параметр:Заказной код:Материал защиты,Параметр:Заказной код:Материал шкалы
,UA-1000-S-1-4-1-2,NPT 1/4,±500 мм.водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,UA-1000-S-2-1-1-1,G 1/4,±500 мм.водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,UA-1000-S-2-1-1-2,G 1/4,±500 мм.водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,UA-1000-S-2-2-1-1,G 1/4,±500 мм.водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,UA-1000-S-2-2-1-2,G 1/4,±500 мм.водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,UA-1000-S-2-3-1-1,G 1/4,±500 мм.водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,UA-1000-S-2-3-1-2,G 1/4,±500 мм.водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,UA-1000-S-2-4-1-1,G 1/4,±500 мм.водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,UA-1000-S-2-4-1-2,G 1/4,±500 мм.водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,UA-1000-S-3-1-1-1,Нет (для серии UC),±500 мм.водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,UA-1000-S-3-1-1-2,Нет (для серии UC),±500 мм.водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,UA-1000-S-3-2-1-1,Нет (для серии UC),±500 мм.водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,UA-1000-S-3-2-1-2,Нет (для серии UC),±500 мм.водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,UA-1000-S-3-3-1-1,Нет (для серии UC),±500 мм.водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,UA-1000-S-3-3-1-2,Нет (для серии UC),±500 мм.водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,UA-1000-S-3-4-1-1,Нет (для серии UC),±500 мм.водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,UA-1000-S-3-4-1-2,Нет (для серии UC),±500 мм.водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,UA-1000-A-1-1-2-2,NPT 1/4,±500 мм.водяного столба,Алюминий,NBR,Алюминий,Алюминий
,UA-1000-A-1-2-2-2,NPT 1/4,±500 мм.водяного столба,Алюминий,Витон,Алюминий,Алюминий
,UA-1000-A-1-3-2-2,NPT 1/4,±500 мм.водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,UA-1000-A-1-4-2-2,NPT 1/4,±500 мм.водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,UA-1000-A-2-1-2-2,G 1/4,±500 мм.водяного столба,Алюминий,NBR,Алюминий,Алюминий
,UA-1000-A-2-2-2-2,G 1/4,±500 мм.водяного столба,Алюминий,Витон,Алюминий,Алюминий
,UA-1000-A-2-3-2-2,G 1/4,±500 мм.водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,UA-1000-A-2-4-2-2,G 1/4,±500 мм.водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,UA-1000-A-3-1-2-2,Нет (для серии UC),±500 мм.водяного столба,Алюминий,NBR,Алюминий,Алюминий
,UA-1000-A-3-2-2-2,Нет (для серии UC),±500 мм.водяного столба,Алюминий,Витон,Алюминий,Алюминий
,UA-1000-A-3-3-2-2,Нет (для серии UC),±500 мм.водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,UA-1000-A-3-4-2-2,Нет (для серии UC),±500 мм.водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-8""-S-1-1-1-1",NPT 1/4,±4 дюйма водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-8""-S-1-1-1-2",NPT 1/4,±4 дюйма водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-8""-S-1-2-1-1",NPT 1/4,±4 дюйма водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-8""-S-1-2-1-2",NPT 1/4,±4 дюйма водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-8""-S-1-3-1-1",NPT 1/4,±4 дюйма водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-8""-S-1-3-1-2",NPT 1/4,±4 дюйма водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-8""-S-1-4-1-1",NPT 1/4,±4 дюйма водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-8""-S-1-4-1-2",NPT 1/4,±4 дюйма водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-8""-S-2-1-1-1",G 1/4,±4 дюйма водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-8""-S-2-1-1-2",G 1/4,±4 дюйма водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-8""-S-2-2-1-1",G 1/4,±4 дюйма водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-8""-S-2-2-1-2",G 1/4,±4 дюйма водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-8""-S-2-3-1-1",G 1/4,±4 дюйма водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-8""-S-2-3-1-2",G 1/4,±4 дюйма водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-8""-S-2-4-1-1",G 1/4,±4 дюйма водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-8""-S-2-4-1-2",G 1/4,±4 дюйма водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-8""-S-3-1-1-1",Нет (для серии UC),±4 дюйма водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-8""-S-3-1-1-2",Нет (для серии UC),±4 дюйма водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-8""-S-3-2-1-1",Нет (для серии UC),±4 дюйма водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-8""-S-3-2-1-2",Нет (для серии UC),±4 дюйма водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-8""-S-3-3-1-1",Нет (для серии UC),±4 дюйма водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-8""-S-3-3-1-2",Нет (для серии UC),±4 дюйма водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-8""-S-3-4-1-1",Нет (для серии UC),±4 дюйма водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-8""-S-3-4-1-2",Нет (для серии UC),±4 дюйма водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-8""-A-1-1-2-2",NPT 1/4,±4 дюйма водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-8""-A-1-2-2-2",NPT 1/4,±4 дюйма водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-8""-A-1-3-2-2",NPT 1/4,±4 дюйма водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-8""-A-1-4-2-2",NPT 1/4,±4 дюйма водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-8""-A-2-1-2-2",G 1/4,±4 дюйма водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-8""-A-2-2-2-2",G 1/4,±4 дюйма водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-8""-A-2-3-2-2",G 1/4,±4 дюйма водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-8""-A-2-4-2-2",G 1/4,±4 дюйма водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-8""-A-3-1-2-2",Нет (для серии UC),±4 дюйма водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-8""-A-3-2-2-2",Нет (для серии UC),±4 дюйма водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-8""-A-3-3-2-2",Нет (для серии UC),±4 дюйма водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-8""-A-3-4-2-2",Нет (для серии UC),±4 дюйма водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-12""-S-1-1-1-1",NPT 1/4,±6 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-12""-S-1-1-1-2",NPT 1/4,±6 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-12""-S-1-2-1-1",NPT 1/4,±6 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-12""-S-1-2-1-2",NPT 1/4,±6 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-12""-S-1-3-1-1",NPT 1/4,±6 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-12""-S-1-3-1-2",NPT 1/4,±6 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-12""-S-1-4-1-1",NPT 1/4,±6 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-12""-S-1-4-1-2",NPT 1/4,±6 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-12""-S-2-1-1-1",G 1/4,±6 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-12""-S-2-1-1-2",G 1/4,±6 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-12""-S-2-2-1-1",G 1/4,±6 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-12""-S-2-2-1-2",G 1/4,±6 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-12""-S-2-3-1-1",G 1/4,±6 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-12""-S-2-3-1-2",G 1/4,±6 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-12""-S-2-4-1-1",G 1/4,±6 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-12""-S-2-4-1-2",G 1/4,±6 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-12""-S-3-1-1-1",Нет (для серии UC),±6 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-12""-S-3-1-1-2",Нет (для серии UC),±6 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-12""-S-3-2-1-1",Нет (для серии UC),±6 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-12""-S-3-2-1-2",Нет (для серии UC),±6 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-12""-S-3-3-1-1",Нет (для серии UC),±6 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-12""-S-3-3-1-2",Нет (для серии UC),±6 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-12""-S-3-4-1-1",Нет (для серии UC),±6 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-12""-S-3-4-1-2",Нет (для серии UC),±6 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-12""-A-1-1-2-2",NPT 1/4,±6 дюймов водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-12""-A-1-2-2-2",NPT 1/4,±6 дюймов водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-12""-A-1-3-2-2",NPT 1/4,±6 дюймов водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-12""-A-1-4-2-2",NPT 1/4,±6 дюймов водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-12""-A-2-1-2-2",G 1/4,±6 дюймов водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-12""-A-2-2-2-2",G 1/4,±6 дюймов водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-12""-A-2-3-2-2",G 1/4,±6 дюймов водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-12""-A-2-4-2-2",G 1/4,±6 дюймов водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-12""-A-3-1-2-2",Нет (для серии UC),±6 дюймов водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-12""-A-3-2-2-2",Нет (для серии UC),±6 дюймов водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-12""-A-3-3-2-2",Нет (для серии UC),±6 дюймов водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-12""-A-3-4-2-2",Нет (для серии UC),±6 дюймов водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-16""-S-1-1-1-1",NPT 1/4,±8 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-16""-S-1-1-1-2",NPT 1/4,±8 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-16""-S-1-2-1-1",NPT 1/4,±8 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-16""-S-1-2-1-2",NPT 1/4,±8 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-16""-S-1-3-1-1",NPT 1/4,±8 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-16""-S-1-3-1-2",NPT 1/4,±8 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-16""-S-1-4-1-1",NPT 1/4,±8 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-16""-S-1-4-1-2",NPT 1/4,±8 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-16""-S-2-1-1-1",G 1/4,±8 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-16""-S-2-1-1-2",G 1/4,±8 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-16""-S-2-2-1-1",G 1/4,±8 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-16""-S-2-2-1-2",G 1/4,±8 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-16""-S-2-3-1-1",G 1/4,±8 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-16""-S-2-3-1-2",G 1/4,±8 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-16""-S-2-4-1-1",G 1/4,±8 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-16""-S-2-4-1-2",G 1/4,±8 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-16""-S-3-1-1-1",Нет (для серии UC),±8 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-16""-S-3-1-1-2",Нет (для серии UC),±8 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-16""-S-3-2-1-1",Нет (для серии UC),±8 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-16""-S-3-2-1-2",Нет (для серии UC),±8 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-16""-S-3-3-1-1",Нет (для серии UC),±8 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-16""-S-3-3-1-2",Нет (для серии UC),±8 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-16""-S-3-4-1-1",Нет (для серии UC),±8 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-16""-S-3-4-1-2",Нет (для серии UC),±8 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-16""-A-1-1-2-2",NPT 1/4,±8 дюймов водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-16""-A-1-2-2-2",NPT 1/4,±8 дюймов водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-16""-A-1-3-2-2",NPT 1/4,±8 дюймов водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-16""-A-1-4-2-2",NPT 1/4,±8 дюймов водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-16""-A-2-1-2-2",G 1/4,±8 дюймов водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-16""-A-2-2-2-2",G 1/4,±8 дюймов водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-16""-A-2-3-2-2",G 1/4,±8 дюймов водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-16""-A-2-4-2-2",G 1/4,±8 дюймов водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-16""-A-3-1-2-2",Нет (для серии UC),±8 дюймов водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-16""-A-3-2-2-2",Нет (для серии UC),±8 дюймов водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-16""-A-3-3-2-2",Нет (для серии UC),±8 дюймов водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-16""-A-3-4-2-2",Нет (для серии UC),±8 дюймов водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-20""-S-1-1-1-1",NPT 1/4,±10 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-20""-S-1-1-1-2",NPT 1/4,±10 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-20""-S-1-2-1-1",NPT 1/4,±10 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-20""-S-1-2-1-2",NPT 1/4,±10 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-20""-S-1-3-1-1",NPT 1/4,±10 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-20""-S-1-3-1-2",NPT 1/4,±10 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-20""-S-1-4-1-1",NPT 1/4,±10 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-20""-S-1-4-1-2",NPT 1/4,±10 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-20""-S-2-1-1-1",G 1/4,±10 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-20""-S-2-1-1-2",G 1/4,±10 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-20""-S-2-2-1-1",G 1/4,±10 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-20""-S-2-2-1-2",G 1/4,±10 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-20""-S-2-3-1-1",G 1/4,±10 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-20""-S-2-3-1-2",G 1/4,±10 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-20""-S-2-4-1-1",G 1/4,±10 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-20""-S-2-4-1-2",G 1/4,±10 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-20""-S-3-1-1-1",Нет (для серии UC),±10 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-20""-S-3-1-1-2",Нет (для серии UC),±10 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-20""-S-3-2-1-1",Нет (для серии UC),±10 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-20""-S-3-2-1-2",Нет (для серии UC),±10 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-20""-S-3-3-1-1",Нет (для серии UC),±10 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-20""-S-3-3-1-2",Нет (для серии UC),±10 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-20""-S-3-4-1-1",Нет (для серии UC),±10 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-20""-S-3-4-1-2",Нет (для серии UC),±10 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-20""-A-1-1-2-2",NPT 1/4,±10 дюймов водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-20""-A-1-2-2-2",NPT 1/4,±10 дюймов водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-20""-A-1-3-2-2",NPT 1/4,±10 дюймов водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-20""-A-1-4-2-2",NPT 1/4,±10 дюймов водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-20""-A-2-1-2-2",G 1/4,±10 дюймов водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-20""-A-2-2-2-2",G 1/4,±10 дюймов водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-20""-A-2-3-2-2",G 1/4,±10 дюймов водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-20""-A-2-4-2-2",G 1/4,±10 дюймов водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-20""-A-3-1-2-2",Нет (для серии UC),±10 дюймов водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-20""-A-3-2-2-2",Нет (для серии UC),±10 дюймов водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-20""-A-3-3-2-2",Нет (для серии UC),±10 дюймов водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-20""-A-3-4-2-2",Нет (для серии UC),±10 дюймов водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-24""-S-1-1-1-1",NPT 1/4,±12 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-24""-S-1-1-1-2",NPT 1/4,±12 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-24""-S-1-2-1-1",NPT 1/4,±12 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-24""-S-1-2-1-2",NPT 1/4,±12 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-24""-S-1-3-1-1",NPT 1/4,±12 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-24""-S-1-3-1-2",NPT 1/4,±12 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-24""-S-1-4-1-1",NPT 1/4,±12 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-24""-S-1-4-1-2",NPT 1/4,±12 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-24""-S-2-1-1-1",G 1/4,±12 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-24""-S-2-1-1-2",G 1/4,±12 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-24""-S-2-2-1-1",G 1/4,±12 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-24""-S-2-2-1-2",G 1/4,±12 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-24""-S-2-3-1-1",G 1/4,±12 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-24""-S-2-3-1-2",G 1/4,±12 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-24""-S-2-4-1-1",G 1/4,±12 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-24""-S-2-4-1-2",G 1/4,±12 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-24""-S-3-1-1-1",Нет (для серии UC),±12 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-24""-S-3-1-1-2",Нет (для серии UC),±12 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-24""-S-3-2-1-1",Нет (для серии UC),±12 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-24""-S-3-2-1-2",Нет (для серии UC),±12 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-24""-S-3-3-1-1",Нет (для серии UC),±12 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-24""-S-3-3-1-2",Нет (для серии UC),±12 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-24""-S-3-4-1-1",Нет (для серии UC),±12 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-24""-S-3-4-1-2",Нет (для серии UC),±12 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-24""-A-1-1-2-2",NPT 1/4,±12 дюймов водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-24""-A-1-2-2-2",NPT 1/4,±12 дюймов водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-24""-A-1-3-2-2",NPT 1/4,±12 дюймов водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-24""-A-1-4-2-2",NPT 1/4,±12 дюймов водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-24""-A-2-1-2-2",G 1/4,±12 дюймов водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-24""-A-2-2-2-2",G 1/4,±12 дюймов водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-24""-A-2-3-2-2",G 1/4,±12 дюймов водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-24""-A-2-4-2-2",G 1/4,±12 дюймов водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-24""-A-3-1-2-2",Нет (для серии UC),±12 дюймов водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-24""-A-3-2-2-2",Нет (для серии UC),±12 дюймов водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-24""-A-3-3-2-2",Нет (для серии UC),±12 дюймов водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-24""-A-3-4-2-2",Нет (для серии UC),±12 дюймов водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-36""-S-1-1-1-1",NPT 1/4,±18 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-36""-S-1-1-1-2",NPT 1/4,±18 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-36""-S-1-2-1-1",NPT 1/4,±18 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-36""-S-1-2-1-2",NPT 1/4,±18 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-36""-S-1-3-1-1",NPT 1/4,±18 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-36""-S-1-3-1-2",NPT 1/4,±18 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-36""-S-1-4-1-1",NPT 1/4,±18 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
