#,Заказной код,Параметр:Заказной код:Подсоединение,"Параметр:Заказной код:Длина, мм",Параметр:Заказной код:Количество поплавков,"Параметр:Заказной код:Материалы, контактирующие со средой",Параметр:Заказной код:Форма контакта,Параметр:Заказной код:Размер поплавка таблица,Параметр:Заказной код:Размер поплавка
,"LS-402P-4-2-11-F-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-2-F-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-2-F-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-2-F-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-2-F-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-5-F-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-5-F-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-5-F-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-5-F-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-8-F-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-8-F-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-8-F-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-8-F-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-11-F-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-11-F-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-11-F-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-402P-4-3-11-F-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),четыре F - (ПП)
,"LS-403P-5-1-1-G-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-1-G-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-1-G-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-1-G-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-3-G-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-3-G-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-3-G-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-3-G-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-4-G-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-4-G-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-4-G-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-4-G-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-6-G-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-6-G-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-6-G-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-6-G-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-7-G-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-7-G-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-7-G-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-7-G-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-9-G-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-9-G-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-9-G-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-9-G-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-10-G-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-10-G-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-10-G-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-1-10-G-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-2-G-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-2-G-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-2-G-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-2-G-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-5-G-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-5-G-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-5-G-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-5-G-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-8-G-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-8-G-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-8-G-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-8-G-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-11-G-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-11-G-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-11-G-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-2-11-G-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (250V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-2-G-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-2-G-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-2-G-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-2-G-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-5-G-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-5-G-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-5-G-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-5-G-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-8-G-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-8-G-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-8-G-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-8-G-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-11-G-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,1000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-11-G-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,2000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-11-G-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,3000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-403P-5-3-11-G-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G3/8,4000,четыре,ПВДФ,50x75 (ПВДФ),SPDT (150V AC/DC),четыре G - (ПВДФ)
,"LS-404P-2-1-1-H-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,1000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-1-H-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,2000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-1-H-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,3000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-1-H-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,4000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-3-H-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,1000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-3-H-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,2000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-3-H-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,3000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-3-H-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,4000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-4-H-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,1000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-4-H-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,2000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-4-H-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,3000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-4-H-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,4000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-6-H-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,1000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-6-H-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,2000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-6-H-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,3000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-6-H-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,4000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-7-H-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,1000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-7-H-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,2000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-7-H-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,3000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-7-H-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,4000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-9-H-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,1000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-9-H-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,2000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-9-H-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,3000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-9-H-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,4000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-10-H-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,1000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-10-H-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,2000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-10-H-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,3000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-1-10-H-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,4000,четыре,SS316,50x70 (ПВХ),SPST (230V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-2-2-H-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,1000,четыре,SS316,50x70 (ПВХ),SPDT (250V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-2-2-H-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,2000,четыре,SS316,50x70 (ПВХ),SPDT (250V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-2-2-H-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,3000,четыре,SS316,50x70 (ПВХ),SPDT (250V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-2-2-H-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,4000,четыре,SS316,50x70 (ПВХ),SPDT (250V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-2-5-H-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,1000,четыре,SS316,50x70 (ПВХ),SPDT (250V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-2-5-H-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,2000,четыре,SS316,50x70 (ПВХ),SPDT (250V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-2-5-H-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,3000,четыре,SS316,50x70 (ПВХ),SPDT (250V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-2-5-H-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,4000,четыре,SS316,50x70 (ПВХ),SPDT (250V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-2-8-H-L=1000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,1000,четыре,SS316,50x70 (ПВХ),SPDT (250V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-2-8-H-L=2000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,2000,четыре,SS316,50x70 (ПВХ),SPDT (250V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-2-8-H-L=3000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,3000,четыре,SS316,50x70 (ПВХ),SPDT (250V AC/DC),четыре H - (ПВХ)
,"LS-404P-2-2-8-H-L=4000mm-l1=____mm __mm, l2=____mm __mm, l3=____mm __mm, l4=____mm __mm",G1/2,4000,четыре,SS316,50x70 (ПВХ),SPDT (250V AC/DC),четыре H - (ПВХ)
